id,create_date,rent_price,deposit,floor,area_total,rooms,region,agent_fee,date_only,repair_type_original,renovation_cosmetic,renovation_design,renovation_euro,renovation_no,renovation_unknown,price_for_m2,is_luxury_by_region,month_deposit,deposit_group,is_high_floor,renovation_score,is_small,is_large,is_studio,is_family,is_expensive_region,area_expensive,rooms_scaled,floor_scaled,rooms_x_floor
1,2021-12-06 09:54:22.001000+03:00,88400,88400.0,2,63.2,2,1,0.0,2021-12-06,unknown,0,0,0,0,1,1398.73,1,1.0,2,0,0.0,0,0,0,0,1,63.2,0.3333333333333333,0.018518518518518517,0.006172839506172839
2,2021-12-06 09:52:18.815000+03:00,88100,88100.0,6,53.6,2,1,0.0,2021-12-06,unknown,0,0,0,0,1,1643.66,1,1.0,2,0,0.0,0,0,0,0,1,53.6,0.3333333333333333,0.09259259259259259,0.030864197530864196
3,2021-12-06 09:48:26.329000+03:00,36000,36000.0,9,39.0,1,1,0.0,2021-12-06,unknown,0,0,0,0,1,923.08,0,1.0,1,0,0.0,1,0,1,0,1,39.0,0.16666666666666666,0.14814814814814814,0.024691358024691357
4,2021-12-06 09:46:42.017000+03:00,35000,35000.0,5,40.0,1,1,0.0,2021-12-06,unknown,0,0,0,0,1,875.0,0,1.0,0,0,0.0,1,0,1,0,1,40.0,0.16666666666666666,0.07407407407407407,0.012345679012345678
6,2021-12-06 09:45:43.455000+03:00,35000,35000.0,8,33.0,1,1,0.0,2021-12-06,unknown,0,0,0,0,1,1060.61,0,1.0,0,0,0.0,1,0,1,0,1,33.0,0.16666666666666666,0.12962962962962962,0.021604938271604937
7,2021-12-06 09:45:15.815000+03:00,150000,150000.0,8,62.0,2,1,40.0,2021-12-06,design,0,1,0,0,0,2419.35,1,1.0,2,0,0.6,0,0,0,0,1,62.0,0.3333333333333333,0.12962962962962962,0.043209876543209874
9,2021-12-06 09:42:59.104000+03:00,35000,35000.0,1,38.0,1,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,921.05,0,1.0,0,0,0.0,1,0,1,0,1,38.0,0.16666666666666666,0.0,0.0
10,2021-12-06 09:41:09.609000+03:00,35000,35000.0,3,32.0,1,1,0.0,2021-12-06,unknown,0,0,0,0,1,1093.75,1,1.0,0,0,0.0,1,0,1,0,1,32.0,0.16666666666666666,0.037037037037037035,0.006172839506172839
11,2021-12-06 09:41:00.650000+03:00,35000,35000.0,14,35.0,1,1,0.0,2021-12-06,unknown,0,0,0,0,1,1000.0,0,1.0,0,0,0.0,1,0,1,0,1,35.0,0.16666666666666666,0.24074074074074073,0.040123456790123455
12,2021-12-06 09:40:33.009000+03:00,35000,35000.0,4,45.0,1,1,0.0,2021-12-06,unknown,0,0,0,0,1,777.78,0,1.0,0,0,0.0,1,0,1,0,1,45.0,0.16666666666666666,0.05555555555555555,0.009259259259259259
13,2021-12-06 09:40:27.996000+03:00,35000,35000.0,6,38.0,1,1,70.0,2021-12-06,euro,0,0,1,0,0,921.05,0,1.0,0,0,0.4,1,0,1,0,1,38.0,0.16666666666666666,0.09259259259259259,0.015432098765432098
14,2021-12-06 09:38:09.139000+03:00,80000,80000.0,6,90.0,3,1,0.0,2021-12-06,unknown,0,0,0,0,1,888.89,0,1.0,2,0,0.0,0,0,0,1,1,90.0,0.5,0.09259259259259259,0.046296296296296294
15,2021-12-06 09:38:08.136000+03:00,34000,34000.0,2,35.0,1,1,0.0,2021-12-06,unknown,0,0,0,0,1,971.43,0,1.0,0,0,0.0,1,0,1,0,1,35.0,0.16666666666666666,0.018518518518518517,0.0030864197530864196
17,2021-12-06 09:35:18.658000+03:00,80200,0.0,7,53.0,2,1,0.0,2021-12-06,design,0,1,0,0,0,1513.21,1,0.0,0,0,0.6,0,0,0,0,1,53.0,0.3333333333333333,0.1111111111111111,0.037037037037037035
18,2021-12-06 09:35:04.214000+03:00,80000,80000.0,14,50.0,2,1,0.0,2021-12-06,unknown,0,0,0,0,1,1600.0,1,1.0,2,0,0.0,1,0,0,0,1,50.0,0.3333333333333333,0.24074074074074073,0.08024691358024691
20,2021-12-06 09:26:18.214000+03:00,15100,15100.0,3,45.0,1,1,0.0,2021-12-06,unknown,0,0,0,0,1,335.56,0,1.0,0,0,0.0,1,0,1,0,1,45.0,0.16666666666666666,0.037037037037037035,0.006172839506172839
21,2021-12-06 09:20:29.271000+03:00,70000,70000.0,11,41.0,2,1,0.0,2021-12-06,unknown,0,0,0,0,1,1707.32,1,1.0,2,0,0.0,1,0,0,0,1,41.0,0.3333333333333333,0.18518518518518517,0.06172839506172839
22,2021-12-06 09:11:30.139000+03:00,41000,41000.0,3,38.0,2,1,0.0,2021-12-06,unknown,0,0,0,0,1,1078.95,0,1.0,1,0,0.0,1,0,0,0,1,38.0,0.3333333333333333,0.037037037037037035,0.012345679012345678
23,2021-12-06 08:50:26.035000+03:00,40000,20000.0,15,40.0,1,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,1000.0,0,0.5,0,0,0.0,1,0,1,0,1,40.0,0.16666666666666666,0.2592592592592593,0.04320987654320988
24,2021-12-06 08:49:39.594000+03:00,109000,109000.0,38,40.0,2,1,50.0,2021-12-06,design,0,1,0,0,0,2725.0,1,1.0,2,1,0.6,1,0,0,0,1,40.0,0.3333333333333333,0.6851851851851852,0.22839506172839508
25,2021-12-06 08:42:10.169000+03:00,38000,38000.0,13,40.0,1,1,40.0,2021-12-06,euro,0,0,1,0,0,950.0,0,1.0,1,0,0.4,1,0,1,0,1,40.0,0.16666666666666666,0.2222222222222222,0.037037037037037035
26,2021-12-06 08:40:52.367000+03:00,38000,38000.0,3,40.0,1,1,70.0,2021-12-06,euro,0,0,1,0,0,950.0,0,1.0,1,0,0.4,1,0,1,0,1,40.0,0.16666666666666666,0.037037037037037035,0.006172839506172839
27,2021-12-06 08:39:49.661000+03:00,60000,60000.0,3,56.0,2,1,50.0,2021-12-06,euro,0,0,1,0,0,1071.43,0,1.0,2,0,0.4,0,0,0,0,1,56.0,0.3333333333333333,0.037037037037037035,0.012345679012345678
28,2021-12-06 08:38:08.820000+03:00,58000,58000.0,4,57.0,3,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,1017.54,0,1.0,2,0,0.0,0,0,0,1,1,57.0,0.5,0.05555555555555555,0.027777777777777776
29,2021-12-06 08:37:24.723000+03:00,58000,58000.0,7,78.0,3,1,0.0,2021-12-06,unknown,0,0,0,0,1,743.59,0,1.0,2,0,0.0,0,0,0,1,1,78.0,0.5,0.1111111111111111,0.05555555555555555
30,2021-12-06 08:23:59.992000+03:00,40000,40000.0,14,38.0,1,1,100.0,2021-12-06,cosmetic,1,0,0,0,0,1052.63,0,1.0,1,0,0.0,1,0,1,0,1,38.0,0.16666666666666666,0.24074074074074073,0.040123456790123455
31,2021-12-06 08:13:55.115000+03:00,45000,45000.0,4,55.0,2,1,100.0,2021-12-06,cosmetic,1,0,0,0,0,818.18,0,1.0,1,0,0.0,0,0,0,0,1,55.0,0.3333333333333333,0.05555555555555555,0.018518518518518517
32,2021-12-06 08:13:08.929000+03:00,45000,45000.0,7,55.0,2,1,99.0,2021-12-06,euro,0,0,1,0,0,818.18,0,1.0,1,0,0.4,0,0,0,0,1,55.0,0.3333333333333333,0.1111111111111111,0.037037037037037035
